mq2,mq4,Time
15,6,46:57.6
15,6,47:12.6
15,6,47:27.6
15,6,47:42.6
15,6,47:57.6
15,6,48:12.6
15,6,48:27.6
15,6,48:42.6
15,6,48:57.6
15,6,49:12.6
15,6,49:27.6
15,6,49:42.6
15,6,49:57.6
15,6,50:12.6
15,6,50:27.6
15,6,50:42.6
15,6,50:57.6
15,6,51:12.6
15,6,51:27.6
15,6,51:42.6
15,6,51:57.6
15,6,52:12.6
15,6,52:27.6
15,6,52:42.6
15,6,52:57.6
15,6,53:12.6
15,6,53:27.6
16,6,53:42.6
15,6,53:57.6
15,6,54:12.6
16,6,54:27.6
16,6,54:42.6
16,6,54:57.6
16,6,55:12.6
16,6,55:27.6
16,6,55:42.6
16,6,55:57.6
16,6,56:12.6
16,6,56:27.6
16,6,56:42.6
16,6,56:57.6
16,6,57:12.6
16,6,57:27.6
16,6,57:42.6
16,6,57:57.6
16,6,58:12.6
16,6,58:27.6
16,5,58:42.6
16,5,58:57.6
16,5,59:12.6
16,6,59:27.6
16,5,59:42.6
16,6,59:57.6
16,5,00:12.6
16,5,00:27.6
16,5,00:42.6
16,5,00:57.6
16,5,01:12.6
16,5,01:27.6
16,5,01:42.6
16,5,01:57.6
16,5,02:12.6
16,5,02:27.6
16,5,02:42.6
16,5,02:57.6
16,5,03:12.6
16,5,03:27.6
16,5,03:42.6
16,5,03:57.6
16,5,04:12.6
16,5,04:27.6
16,5,04:42.6
16,5,04:57.6
16,5,05:12.6
16,5,05:27.6
16,5,05:42.6
16,5,05:57.6
16,5,06:12.6
16,5,06:27.6
16,5,06:42.6
16,5,06:57.6
16,5,07:12.6
16,5,07:27.6
16,5,07:42.6
16,5,07:57.6
16,5,08:12.6
16,5,08:27.6
16,5,08:42.6
16,5,08:57.6
16,5,09:12.6
16,5,09:27.6
16,5,09:42.6
16,5,09:57.6
16,5,10:12.6
16,5,10:27.6
16,5,10:42.6
17,5,10:57.6
16,5,11:12.6
16,5,11:27.6
16,5,11:42.6
16,5,11:57.6
16,5,12:12.6
16,5,12:27.6
16,5,12:42.6
16,5,12:57.6
16,5,13:12.6
16,5,13:27.6
17,5,13:42.6
17,5,13:57.6
17,5,14:12.6
17,5,14:27.6
17,5,14:42.6
16,5,14:57.6
16,5,15:12.6
17,5,15:27.6
17,5,15:42.6
16,5,15:57.6
16,5,16:12.6
17,5,16:27.6
17,5,16:42.6
17,5,16:57.6
17,5,17:12.6
17,5,17:27.6
17,5,17:42.6
17,5,17:57.6
17,5,18:12.6
17,5,18:27.6
17,5,18:42.6
17,5,18:57.6
17,5,19:12.6
17,5,19:27.6
17,5,19:42.6
17,5,19:57.6
17,5,20:12.6
17,5,20:27.6
17,5,20:42.6
17,5,20:57.6
17,5,21:12.6
17,5,21:27.6
17,5,21:42.6
17,5,21:57.6
17,5,22:12.6
17,5,22:27.6
17,5,22:42.6
17,5,22:57.6
17,5,23:12.6
17,5,23:27.6
17,5,23:42.6
17,5,23:57.6
17,5,24:12.6
